ChathamIsland
NZ_DOE
43.92°S     176.50°W
16-sept-83  11-Oct-1996
Mon         Stat        Cl          NO3         SO4         Na          SeaSalt     nssSO4      MSA         Dust        NH4
of          Param       Air         Air         Air         Air         Air         Air         Air         Air         Air
Yr          *           µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3
Oct         StdDev      3.83        0.015       0.476       2.088       6.791       0.083       0.0072      -999        0.009
Nov         N           16          16          16          16          16          16          8           0           16
Nov         Mean        5.747       0.037       0.939       3.255       10.584      0.119       0.0489      -999        0.0377
Nov         StdDev      2.661       0.013       0.326       1.497       4.869       0.139       0.0177      -999        0.016
Dec         N           17          17          17          17          17          17          8           0           17
Dec         Mean        5.005       0.026       0.89        2.907       9.455       0.159       0.0651      -999        0.0544
Dec         StdDev      3.532       0.007       0.447       1.932       6.284       0.085       0.0183      -999        0.0135
Ann         Mean        5.604       0.03        0.888       3.219       10.468      0.078       0.0388      -999        0.0331

MawsonAntarctica
DOE
67.60°S     62.50°E
18-févr-87  01-janv-96
Mon         Stat        Cl          NO3         SO4         Na          SeaSalt     nssSO4      MSA         Dust        NH4
of          Param       Air         Air         Air         Air         Air         Air         Air         Air         Air
Yr          *           µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3
Jan         N           31          31          31          31          31          31          27          23          31
Jan         Mean        0.068       0.032       0.327       0.07        0.227       0.31        0.0533      0.247       0.0546
Jan         StdDev      0.041       0.016       0.119       0.042       0.136       0.118       0.0248      0.435       0.0246
Feb         N           30          30          30          30          30          30          26          20          30
Feb         Mean        0.071       0.021       0.236       0.056       0.182       0.222       0.047       0.133       0.0284
Feb         StdDev      0.04        0.011       0.069       0.044       0.143       0.066       0.0229      0.305       0.0174
Mar         N           38          34          38          38          38          38          30          22          37
Mar         Mean        0.072       0.013       0.151       0.054       0.174       0.137       0.0396      0.034       0.0189
Mar         StdDev      0.073       0.007       0.066       0.041       0.135       0.063       0.0208      0.098       0.0149
Apr         N           39          38          39          39          39          39          30          20          38
Apr         Mean        0.099       0.01        0.079       0.07        0.228       0.061       0.0186      0.031       0.0101
Apr         StdDev      0.139       0.006       0.044       0.083       0.271       0.044       0.0073      0.081       0.0063
May         N           40          39          40          40          40          40          32          24          39
May         Mean        0.161       0.011       0.051       0.092       0.3         0.028       0.0062      0.059       0.0069
May         StdDev      0.231       0.005       0.021       0.109       0.353       0.031       0.0026      0.068       0.0045
Jun         N           39          39          39          39          39          39          29          21          38
Jun         Mean        0.137       0.011       0.044       0.089       0.288       0.021       0.0032      0.034       0.0054
Jun         StdDev      0.111       0.005       0.02        0.072       0.233       0.019       0.0023      0.091       0.0038
Jul         N           38          38          38          38          38          38          29          20          37
Jul         Mean        0.162       0.019       0.044       0.104       0.337       0.018       0.002       0.034       0.0049
Jul         StdDev      0.137       0.01        0.02        0.087       0.282       0.021       0.0007      0.07        0.0033
Aug         N           40          40          40          40          40          40          33          25          39
Aug         Mean        0.225       0.032       0.061       0.146       0.476       0.024       0.0032      0.04        0.0066
Aug         StdDev      0.185       0.012       0.023       0.118       0.383       0.025       0.0014      0.078       0.0049
Sep         N           38          38          38          38          38          38          28          20          38
Sep         Mean        0.248       0.031       0.071       0.163       0.529       0.03        0.0067      0.054       0.0078
Sep         StdDev      0.206       0.007       0.025       0.135       0.439       0.037       0.0026      0.116       0.0048
Oct         N           38          38          38          38          38          38          32          22          37
Oct         Mean        0.134       0.036       0.11        0.106       0.345       0.084       0.0144      0.205       0.0147
Oct         StdDev      0.083       0.012       0.036       0.061       0.197       0.039       0.0033      0.649       0.0081
Nov         N           39          39          39          39          39          39          31          23          38
Nov         Mean        0.094       0.054       0.187       0.104       0.338       0.16        0.0235      0.163       0.0323
Nov         StdDev      0.066       0.014       0.072       0.047       0.153       0.073       0.0078      0.341       0.0159
Dec         N           37          37          37          37          37          37          27          20          37
Dec         Mean        0.085       0.041       0.27        0.098       0.32        0.245       0.0446      0.195       0.0595
Dec         StdDev      0.117       0.014       0.098       0.089       0.29        0.092       0.0376      0.324       0.0179
Ann         Mean        0.129       0.026       0.136       0.096       0.312       0.112       0.0219      0.102       0.0208

PalmerStationAntarctica
DOE
64.77°S     64.05°W
03-avr-90   18-Oct-1996
Mon         Stat        Cl          NO3         SO4         Na          SeaSalt     nssSO4      MSA         Dust        NH4
of          Param       Air         Air         Air         Air         Air         Air         Air         Air         Air
Yr          *           µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3       µg/m3
Jan         N           27          27          27          27          27          27          8           5           23
Jan         Mean        1.611       0.03        0.499       1.045       3.399       0.236       0.1932      0.203       0.0997
Jan         StdDev      0.819       0.019       0.167       0.487       1.585       0.132       0.1648      0.164       0.0593
Feb         N           23          23          23          23          23          23          8           4           19
Feb         Mean        1.71        0.023       0.509       1.116       3.628       0.228       0.1289      0.503       0.0793
Feb         StdDev      0.684       0.011       0.147       0.373       1.213       0.153       0.062       0.712       0.0485
Mar         N           27          27          27          27          27          27          9           4           22
Mar         Mean        2.03        0.017       0.402       1.26        4.097       0.085       0.0549      0.231       0.0309
Mar         StdDev      1.174       0.01        0.162       0.661       2.15        0.06        0.0188      0.145       0.0177
Apr         N           30          30          30          30          30          30          13          9           29
Apr         Mean        1.979       0.013       0.329       1.188       3.862       0.03        0.0167      0.73        0.0106
Apr         StdDev      1.108       0.007       0.156       0.567       1.843       0.042       0.008       1.093       0.0074
May         N           31          31          31          31          31          31          14          9           31
May         Mean        2.05        0.011       0.327       1.196       3.891       0.026       0.007       0.261       0.0056
May         StdDev      1.777       0.006       0.261       0.917       2.982       0.065       0.0035      0.364       0.0033
Jun         N           30          30          30          30          30          30          6           6           30
Jun         Mean        1.821       0.01        0.27        1.107       3.6         -0.008      0.0037      1.215       0.0055
Jun         StdDev      2.273       0.005       0.284       1.33        4.324       0.109       0.0058      1.116       0.0035
Jul         N           32          32          32          32          32          32          5           5           32
Jul         Mean        1.297       0.013       0.223       0.811       2.636       0.019       0.0015      0.184       0.004
Jul         StdDev      0.999       0.009       0.131       0.573       1.864       0.038       0.0011      0.224       0.0037
Aug         N           28          28          28          28          28          28          4           4           28
Aug         Mean        1.268       0.017       0.238       0.797       2.591       0.038       0.0014      0.145       0.0043
Aug         StdDev      1.055       0.01        0.202       0.629       2.047       0.063       0.0009      0.201       0.0036
Sep         N           29          29          29          29          29          29          4           4           29
Sep         Mean        1.01        0.02        0.198       0.649       2.109       0.035       0.0055      0.218       0.0063
Sep         StdDev      0.678       0.008       0.114       0.411       1.335       0.03        0.0025      0.286       0.0037
Oct         N           30          30          30          30          30          30          5           5           30
Oct         Mean        1.265       0.022       0.261       0.783       2.546       0.064       0.0213      0.199       0.013
Oct         StdDev      1.198       0.01        0.189       0.653       2.123       0.052       0.0166      0.46        0.0067
Nov         N           25          25          25          25          25          25          4           4           25
Nov         Mean        1.517       0.023       0.343       0.948       3.082       0.104       0.0495      0.346       0.0329
Nov         StdDev      1.452       0.01        0.176       0.824       2.681       0.066       0.0157      0.287       0.0205
Dec         N           27          27          27          27          27          27          5           5           27
Dec         Mean        1.485       0.029       0.446       0.967       3.144       0.203       0.0798      0.007       0.0788
Dec         StdDev      0.739       0.015       0.123       0.443       1.441       0.106       0.0437      0.198       0.0544
Ann                     1.587       0.019       0.337       0.989       3.215       0.088       0.047       0.353       0.0309

ReunionIsland

21.17°S     55.83°E
05-nov-90   16-août-96
